id,file_id,word,context
1,austen-emma.txt,before,"Even <b>before</b> Miss Taylor had ceased to hold the nominal office of governess, the mildness of her temper had hardly allowed her to impose any restraint; and the shadow of authority being now long passed away, they had been living together as friend and friend very mutually attached, and Emma doing just what she liked; highly esteeming Miss Taylor's judgment, but directed chiefly by her own.  "
2,austen-emma.txt,left,"The wedding over, and the bride-people gone, her father and herself were <b>left</b> to dine together, with no prospect of a third to cheer a long evening.  "
3,austen-emma.txt,last,"A large debt of gratitude was owing here; but the intercourse of the <b>last</b> seven years, the equal footing and perfect unreserve which had soon followed Isabella's marriage, on their being left to each other, was yet a dearer, tenderer recollection. "
4,austen-emma.txt,left,"A large debt of gratitude was owing here; but the intercourse of the last seven years, the equal footing and perfect unreserve which had soon followed Isabella's marriage, on their being <b>left</b> to each other, was yet a dearer, tenderer recollection. "
5,austen-emma.txt,bear,"How was she to <b>bear</b> the change?--It was true that her friend was going only half a mile from them; but Emma was aware that great must be the difference between a Mrs. Weston, only half a mile from them, and a Miss Taylor in the house; and with all her advantages, natural and domestic, she was now in great danger of suffering from intellectual solitude.  "
6,austen-emma.txt,before,"must be struggled through at Hartfield, <b>before</b> Christmas brought the next visit from Isabella and her husband, and their little children, to fill the house, and give her pleasant society again.  "
7,austen-emma.txt,kind,"fond of every body that he was used to, and hating to part with them; hating change of every <b>kind</b>.  "
8,austen-emma.txt,bear,"Mr. Weston is such a good-humoured, pleasant, excellent man, that he thoroughly deserves a good wife;--and you would not have had Miss Taylor live with us for ever, and <b>bear</b> all my odd humours, when she might have a house of her own?""  "
9,austen-emma.txt,like,"But James will not <b>like</b> to put the horses to for such a little way;--and where are the poor horses to be while we are paying our visit?""  "
10,austen-emma.txt,stable,"""They are to be put into Mr. Weston's <b>stable</b>, papa.  "
11,austen-emma.txt,last,We talked it all over with Mr. Weston <b>last</b> night.  
12,austen-emma.txt,like,"And as for James, you may be very sure he will always <b>like</b> going to Randalls, because of his daughter's being housemaid there. "
13,austen-emma.txt,late,"He had returned to a <b>late</b> dinner, after some days' absence, and now walked up to Hartfield to say that all were well in Brunswick Square. "
14,austen-emma.txt,kind,"When this was over, Mr. Woodhouse gratefully observed, ""It is very <b>kind</b> of you, Mr. Knightley, to come out at this late hour to call upon us.  "
15,austen-emma.txt,late,"When this was over, Mr. Woodhouse gratefully observed, ""It is very kind of you, Mr. Knightley, to come out at this <b>late</b> hour to call upon us.  "
16,austen-emma.txt,hard,It rained dreadfully <b>hard</b> for half an hour while we were at breakfast.  
17,austen-emma.txt,head,"""That is what you have in your <b>head</b>, I know--and what you would certainly say if my father were not by.""  "
18,austen-emma.txt,like,"We always say what we <b>like</b> to one another.""  "
19,austen-emma.txt,head,"Emma turned away her <b>head</b>, divided between tears and smiles. "
20,austen-emma.txt,like,"""We should not <b>like</b> her so well as we do, sir, if we could suppose it; but she knows how much the marriage is to Miss Taylor's advantage; she knows how very acceptable it must be, at Miss Taylor's time of life, to be settled in a home of her own, and how important to her to be secure of a comfortable provision, and therefore cannot allow herself to feel so much pain as pleasure. "
21,austen-emma.txt,head,Mr. Knightley shook his <b>head</b> at her.  
22,austen-emma.txt,either,"Mr. Weston, who had been a widower so long, and who seemed so perfectly comfortable without a wife, so constantly occupied <b>either</b> in his business in town or among his friends here, always acceptable wherever he went, always cheerful-- "
23,austen-emma.txt,like,Mr. Weston need not spend a single evening in the year alone if he did not <b>like</b> it.  
24,austen-emma.txt,last,"Your time has been properly and delicately spent, if you have been endeavouring for the <b>last</b> four years to bring about this marriage.  "
25,austen-emma.txt,can,"and that is all that <b>can</b> be said.""  "
26,austen-emma.txt,left,"""A straightforward, open-hearted man like Weston, and a rational, unaffected woman like Miss Taylor, may be safely <b>left</b> to manage their own concerns.  "
27,austen-emma.txt,like,"""A straightforward, open-hearted man <b>like</b> Weston, and a rational, unaffected woman like Miss Taylor, may be safely left to manage their own concerns.  "
28,austen-emma.txt,like,"""A straightforward, open-hearted man like Weston, and a rational, unaffected woman <b>like</b> Miss Taylor, may be safely left to manage their own concerns.  "
29,austen-emma.txt,can,"""Emma never thinks of herself, if she <b>can</b> do good to others,"" rejoined Mr. Woodhouse, understanding but in part.  "
30,austen-emma.txt,like,"<b>like</b> Mr. Elton, papa,--I must look about for a wife for him. "
31,austen-emma.txt,kind,"There is nobody in Highbury who deserves him--and he has been here a whole year, and has fitted up his house so comfortably, that it would be a shame to have him single any longer--and I thought when he was joining their hands to-day, he looked so very much as if he would like to have the same <b>kind</b> office done for him!"
32,austen-emma.txt,like,"There is nobody in Highbury who deserves him--and he has been here a whole year, and has fitted up his house so comfortably, that it would be a shame to have him single any longer--and I thought when he was joining their hands to-day, he looked so very much as if he would <b>like</b> to have the same kind office done for him!"
33,austen-emma.txt,kind,"I dare say Mr. Knightley will be so <b>kind</b> as to meet him.""  "
34,austen-emma.txt,can,"Depend upon it, a man of six or seven-and-twenty <b>can</b> take care of himself.""    "
35,austen-emma.txt,last,"CHAPTER II   Mr. Weston was a native of Highbury, and born of a respectable family, which for the <b>last</b> two or three generations had been rising into gentility and property.  "
36,austen-emma.txt,bore,"Miss Churchill, however, being of age, and with the full command of her fortune--though her fortune <b>bore</b> no proportion to the family-estate--was not to be dissuaded from the marriage, and it took place, to the infinite mortification of Mr. and Mrs. Churchill, who threw her off with due decorum.  "
37,austen-emma.txt,refrain,"She had resolution enough to pursue her own will in spite of her brother, but not enough to <b>refrain</b> from unreasonable regrets at that brother's unreasonable anger, nor from missing the luxuries of her former home.  "
38,austen-emma.txt,charge,"Mr. and Mrs. Churchill, having no children of their own, nor any other young creature of equal kindred to care for, offered to take the whole <b>charge</b> of the little Frank soon after her decease. "
39,austen-emma.txt,kind,He was looked on as sufficiently belonging to the place to make his merits and prospects a <b>kind</b> of common concern.  
40,austen-emma.txt,either,"There was not a dissentient voice on the subject, <b>either</b> when Mrs. Perry drank tea with Mrs. and Miss Bates, or when Mrs. and Miss Bates returned the visit.  "
41,austen-emma.txt,bear,"She felt herself a most fortunate woman; and she had lived long enough to know how fortunate she might well be thought, where the only regret was for a partial separation from friends whose friendship for her had never cooled, and who could ill <b>bear</b> to part with her.  "
42,austen-emma.txt,bear,"Emma was of no feeble character; she was more equal to her situation than most girls would have been, and had sense, and energy, and spirits that might be hoped would <b>bear</b> her well and happily through its little difficulties and privations.  "
43,austen-emma.txt,season,"so convenient for even solitary female walking, and in Mr. Weston's disposition and circumstances, which would make the approaching <b>season</b> no hindrance to their spending half the evenings in the week together.  "
44,austen-emma.txt,left,"`poor Miss Taylor,' when they <b>left</b> her at Randalls in the centre of every domestic comfort, or saw her go away in the evening "
45,austen-emma.txt,bear,"His own stomach could <b>bear</b> nothing rich, and he could never believe other people to be different from himself. "
46,austen-emma.txt,late,"He had not much intercourse with any families beyond that circle; his horror of <b>late</b> hours, and large dinner-parties, made him unfit for any acquaintance but such as would visit him on his own terms. "
47,austen-emma.txt,company,"but evening parties were what he preferred; and, unless he fancied himself at any time unequal to <b>company</b>, there was scarcely an evening in the week in which Emma could not make up a card-table for him.  "
48,austen-emma.txt,either,"Mrs. Goddard, three ladies almost always at the service of an invitation from Hartfield, and who were fetched and carried home so often, that Mr. Woodhouse thought it no hardship for <b>either</b> James or the horses.  "
49,austen-emma.txt,can,"She lived with her single daughter in a very small way, and was considered with all the regard and respect which a harmless old lady, under such untoward circumstances, <b>can</b> excite.  "
50,austen-emma.txt,either,She had never boasted <b>either</b> beauty or cleverness.  
51,austen-emma.txt,mine,"The simplicity and cheerfulness of her nature, her contented and grateful spirit, were a recommendation to every body, and a <b>mine</b> of felicity to herself.  "
52,austen-emma.txt,hard,"She was a plain, motherly kind of woman, who had worked <b>hard</b> in her youth, and now thought herself entitled to the occasional holiday of a tea-visit; and having formerly owed much to Mr. Woodhouse's kindness, felt his particular claim on her to leave her neat parlour, hung round with fancy-work, whenever she could, and win or lose a few sixpences by his fireside.  "
53,austen-emma.txt,kind,"She was a plain, motherly <b>kind</b> of woman, who had worked hard in her youth, and now thought herself entitled to the occasional holiday of a tea-visit; and having formerly owed much to Mr. Woodhouse's kindness, felt his particular claim on her to leave her neat parlour, hung round with fancy-work, whenever she could, and win or lose a few sixpences by his fireside.  "
54,austen-emma.txt,before,"She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, <b>before</b> the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.  "
55,austen-emma.txt,blue,"She was short, plump, and fair, with a fine bloom, <b>blue</b> eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.  "
56,austen-emma.txt,light,"She was short, plump, and fair, with a fine bloom, blue eyes, <b>light</b> hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.  "
57,austen-emma.txt,blue,"Those soft <b>blue</b> eyes, and all those natural graces, should not be "
58,austen-emma.txt,kind,"It would be an interesting, and certainly a very <b>kind</b> undertaking; highly becoming her own situation in life, her leisure, and powers.  "
59,austen-emma.txt,before,"She was so busy in admiring those soft blue eyes, in talking and listening, and forming all these schemes in the in-betweens, that the evening flew away at a very unusual rate; and the supper-table, which always closed such parties, and for which she had been used to sit and watch the due time, was all set out and ready, and moved forwards to the fire, <b>before</b> she was aware.  "
